Task ID,Start date ('YYYY-MM-DD'),End date  ('YYYY-MM-DD'),Start date since project start ,End date since project start 
1,'2015-12-22','2015-12-22',112,112
2,'2016-01-30','2017-01-27',151,514
3,'2017-01-30','2017-03-31',517,577
4,'2017-03-31','2017-03-31',577,577
5,'2015-12-22','2015-12-22',112,112
6,'2016-01-30','2016-12-31',151,487
7,'2017-01-30','2017-02-24',517,542
8,'2017-02-27','2017-03-03',545,549
9,'2015-12-22','2015-12-22',112,112
10,'2016-05-28','2016-12-31',270,487
11,'2017-01-30','2017-02-03',517,521
12,'2017-04-18','2017-04-24',595,601
13,'2017-06-09','2017-06-09',647,647
14,'2017-02-23','2017-02-23',541,541
15,'2016-05-31','2016-05-31',273,273
16,'2017-03-30','2017-03-30',576,576
17,'2017-06-19','2017-06-19',657,657
18,'2016-02-05','2016-02-05',157,157
19,'2017-02-21','2017-02-21',539,539
20,'2017-02-27','2017-02-27',545,545
21,'2016-01-26','2016-01-26',147,147
22,'2015-11-30','2015-11-30',90,90
23,'2015-11-30','2015-11-30',90,90
24,'2017-07-07','2017-07-07',675,675
25,'2016-06-27','2016-06-27',300,300
27,'2016-11-28','2016-11-28',454,454
28,'2017-01-27','2017-01-27',514,514
29,'2017-01-27','2017-01-27',514,514
33,'2016-06-28','2016-06-28',301,301
35,'2017-02-10','2017-02-10',528,528
37,'2017-01-31','2017-01-31',518,518
40,'2016-02-29','2016-02-29',181,181
41,'2017-03-09','2017-03-09',555,555
42,'2017-06-30','2017-06-30',668,668
43,'2015-11-30','2017-05-26',90,633
44,'2015-11-30','2015-12-24',90,114
45,'2016-02-29','2017-05-26',181,633
46,'2015-11-30','2017-01-27',90,514
47,'2015-11-30','2017-05-26',90,633
48,'2015-09-17','2015-09-17',16,16
49,'2015-09-17','2015-09-17',16,16
50,'2017-06-30','2017-06-30',668,668
51,'2015-09-17','2015-09-17',16,16
52,'2017-01-30','2017-01-30',517,517
53,'2015-09-17','2015-09-17',16,16
54,'2017-01-30','2017-01-30',517,517
55,'2015-09-17','2015-09-17',16,16
56,'2017-01-30','2017-01-30',517,517
57,'2015-09-17','2015-09-17',16,16
58,'2017-02-03','2017-02-03',521,521
59,'2015-09-17','2015-09-17',16,16
60,'2017-01-30','2017-01-30',517,517
61,'2015-09-17','2015-09-17',16,16
62,'2015-11-30','2015-11-30',90,90
63,'2015-09-01','2015-10-05',0,34
64,'2015-09-21','2015-10-30',20,59
65,'2016-01-11','2016-01-11',132,132
66,'2015-09-01','2015-10-05',0,34
67,'2015-11-02','2015-11-13',62,73
68,'2015-09-01','2015-09-28',0,27
69,'2015-11-02','2015-11-02',62,62
70,'2015-09-17','2015-09-17',16,16
71,'2016-02-22','2016-02-22',174,174
72,'2015-09-08','2015-09-28',7,27
73,'2015-09-08','2015-09-11',7,10
74,'2015-09-08','2015-09-24',7,23
75,'2015-09-01','2015-09-07',0,6
76,'2016-02-01','2016-02-01',153,153
77,'2015-10-20','2015-10-26',49,55
78,'2015-09-17','2015-09-17',16,16
79,'2016-06-20','2016-06-20',293,293
80,'2015-10-06','2015-11-11',35,71
81,'2015-09-01','2015-09-07',0,6
82,'2015-09-01','2015-11-09',0,69
83,'2015-09-01','2015-12-11',0,101
84,'2016-01-12','2016-04-29',133,241
85,'2016-03-11','2016-03-11',192,192
86,'2017-06-30','2017-06-30',668,668
87,'2016-02-22','2017-06-19',174,657
88,'2016-04-07','2016-04-13',219,225
89,'2016-02-22','2017-06-19',174,657
90,'2015-11-02','2015-11-13',62,73
91,'2015-11-30','2015-11-30',90,90
92,'2016-03-01','2016-03-07',182,188
93,'2016-03-01','2016-03-07',182,188
94,'2015-11-30','2015-11-30',90,90
95,'2016-05-31','2016-05-31',273,273
96,'2016-02-09','2016-02-15',161,167
97,'2016-02-09','2016-02-15',161,167
98,'2016-02-09','2016-02-15',161,167
99,'2016-02-09','2016-02-15',161,167
100,'2016-02-09','2016-02-15',161,167
101,'2016-02-09','2016-02-15',161,167
102,'2016-02-09','2016-02-15',161,167
103,'2016-02-09','2016-02-09',161,161
104,'2016-02-09','2016-02-15',161,167
105,'2016-04-04','2017-04-06',216,583
106,'2015-09-17','2015-09-17',16,16
107,'2017-06-30','2017-06-30',668,668
108,'2015-09-17','2015-09-17',16,16
109,'2017-06-30','2017-06-30',668,668
110,'2016-05-25','2016-08-11',267,345
111,'2016-05-16','2016-05-20',258,262
112,'2016-04-04','2017-03-31',216,577
113,'2017-01-30','2017-02-24',517,542
114,'2017-01-30','2017-02-10',517,528
115,'2016-01-04','2016-01-08',125,129
116,'2016-05-31','2016-06-07',273,280
117,'2017-01-30','2017-03-03',517,549
118,'2017-03-06','2017-03-17',552,563
119,'2017-03-20','2017-05-03',566,610
120,'2017-05-04','2017-05-10',611,617
121,'2017-01-30','2017-06-14',517,652
122,'2015-09-01','2015-09-07',0,6
123,'2015-09-01','2015-09-07',0,6
124,'2015-11-02','2015-11-06',62,66
125,'2016-10-31','2017-04-27',426,604
126,'2017-05-24','2017-06-30',631,668
127,'2016-08-12','2016-09-21',346,386
128,'2015-09-24','2016-03-11',23,192
129,'2015-11-02','2015-11-06',62,66
130,'2017-05-04','2017-06-15',611,653
131,'2017-01-30','2017-02-16',517,534
132,'2017-01-30','2017-02-15',517,533
133,'2017-01-30','2017-02-15',517,533
134,'2017-02-24','2017-03-16',542,562
135,'2016-01-28','2016-02-09',149,161
136,'2015-10-01','2015-10-07',30,36
137,'2017-04-05','2017-04-27',582,604
138,'2015-12-01','2015-12-07',91,97
139,'2015-09-01','2015-09-07',0,6
140,'2015-12-01','2015-12-07',91,97
141,'2016-01-04','2016-01-29',125,150
142,'2017-03-15','2017-04-18',561,595
143,'2017-04-28','2017-05-15',605,622
144,'2017-04-19','2017-04-27',596,604
145,'2017-01-30','2017-03-14',517,560
146,'2017-03-15','2017-05-15',561,622
147,'2015-09-17','2015-09-17',16,16
148,'2017-06-30','2017-06-30',668,668
149,'2016-08-01','2016-11-01',335,427
150,'2016-10-31','2017-04-07',426,584
151,'2016-02-22','2016-02-22',174,174
152,'2016-02-22','2016-02-22',174,174
153,'2016-05-03','2016-05-03',245,245
154,'2015-09-01','2015-09-07',0,6
155,'2016-01-21','2016-01-26',142,147
156,'2016-01-26','2016-01-26',147,147
157,'2015-10-13','2015-11-09',42,69
158,'2015-09-01','2015-09-04',0,3
159,'2015-10-13','2015-10-19',42,48
160,'2015-10-27','2015-11-02',56,62
161,'2015-10-13','2015-11-06',42,66
162,'2016-01-14','2016-01-14',135,135
163,'2016-02-22','2016-02-22',174,174
164,'2016-04-25','2016-04-25',237,237
165,'2016-10-31','2017-01-30',426,517
166,'2016-10-31','2017-04-07',426,584
167,'2015-10-06','2015-11-30',35,90
168,'2015-12-01','2015-12-21',91,111
169,'2016-01-04','2016-01-04',125,125
170,'2015-09-17','2015-09-17',16,16
171,'2017-05-31','2017-05-31',638,638
172,'2015-10-06','2015-10-12',35,41
173,'2015-12-01','2015-12-07',91,97
174,'2016-02-09','2016-02-15',161,167
175,'2015-12-01','2015-12-07',91,97
176,'2016-01-04','2016-01-04',125,125
177,'2016-02-22','2016-02-22',174,174
178,'2016-04-25','2016-04-25',237,237
179,'2016-08-01','2016-11-01',335,427
180,'2016-10-31','2017-05-03',426,610
181,'2016-01-04','2016-01-04',125,125
182,'2016-02-01','2016-02-01',153,153
183,'2016-02-01','2016-02-01',153,153
184,'2016-07-08','2016-07-08',311,311
185,'2017-02-24','2017-02-24',542,542
186,'2017-01-30','2017-01-30',517,517
187,'2016-07-18','2016-07-18',321,321
188,'2017-02-07','2017-02-07',525,525
189,'2017-01-30','2017-01-30',517,517
190,'2017-03-23','2017-03-23',569,569
191,'2017-01-16','2017-01-16',503,503
192,'2017-03-30','2017-03-30',576,576
193,'2017-03-03','2017-03-03',549,549
194,'2017-06-01','2017-06-01',639,639
195,'2016-04-18','2016-04-18',230,230
196,'2017-03-21','2017-03-21',567,567
197,'2017-05-02','2017-05-02',609,609
198,'2015-09-28','2015-09-28',27,27
199,'2015-09-17','2015-09-17',16,16
200,'2015-12-22','2015-12-22',112,112
201,'2015-09-28','2015-10-02',27,31
202,'2015-09-17','2015-09-17',16,16
203,'2016-04-25','2016-04-25',237,237
204,'2015-11-20','2015-12-17',80,107
205,'2015-09-17','2015-09-17',16,16
206,'2016-03-29','2016-03-29',210,210
207,'2016-02-01','2016-02-05',153,157
208,'2017-03-23','2017-03-23',569,569
209,'2015-09-17','2015-09-17',16,16
210,'2016-06-27','2016-07-21',300,324
211,'2015-09-17','2015-09-17',16,16
212,'2016-04-04','2016-04-04',216,216
213,'2016-03-21','2016-06-30',202,303
214,'2015-09-17','2015-09-17',16,16
215,'2017-03-31','2017-03-31',577,577
216,'2017-01-03','2017-01-16',490,503
217,'2015-09-17','2015-09-17',16,16
218,'2017-05-26','2017-05-26',633,633
219,'2017-01-17','2017-01-30',504,517
220,'2017-01-03','2017-01-03',490,490
221,'2015-09-17','2015-09-17',16,16
222,'2017-05-23','2017-05-23',630,630
223,'2015-11-02','2015-11-06',62,66
224,'2015-09-17','2015-09-17',16,16
225,'2016-06-23','2016-06-23',296,296
226,'2015-09-28','2016-04-29',27,241
227,'2015-09-17','2015-09-17',16,16
228,'2017-06-21','2017-06-21',659,659
229,'2015-11-02','2016-05-17',62,259
230,'2015-09-17','2015-09-17',16,16
231,'2017-06-30','2017-06-30',668,668
232,'2015-09-28','2017-07-05',27,673
233,'2015-09-17','2015-09-17',16,16
234,'2017-01-30','2017-01-30',517,517
235,'2016-10-31','2016-12-23',426,479
236,'2015-09-17','2015-09-17',16,16
237,'2017-03-31','2017-03-31',577,577
238,'2015-11-02','2016-01-13',62,134
239,'2015-09-17','2015-09-17',16,16
240,'2016-04-29','2016-04-29',241,241
241,'2016-03-21','2017-04-25',202,602
242,'2015-09-17','2015-09-17',16,16
243,'2017-01-30','2017-01-30',517,517
244,'2016-10-03','2016-10-25',398,420
245,'2015-09-17','2015-09-17',16,16
246,'2017-06-01','2017-06-01',639,639
247,'2017-01-03','2017-02-21',490,539
248,'2015-09-17','2015-09-17',16,16
249,'2017-01-30','2017-01-30',517,517
250,'2016-08-01','2016-10-03',335,398
251,'2015-09-17','2015-09-17',16,16
252,'2017-01-30','2017-01-30',517,517
253,'2016-10-31','2016-12-23',426,479
254,'2015-09-17','2015-09-17',16,16
255,'2017-05-26','2017-05-26',633,633
256,'2017-01-03','2017-04-10',490,587
257,'2015-09-17','2015-09-17',16,16
258,'2017-05-02','2017-05-02',609,609
259,'2015-09-17','2015-09-17',16,16
260,'2017-02-03','2017-02-03',521,521
261,'2016-08-01','2016-09-02',335,367
262,'2016-05-31','2016-06-15',273,288
263,'2016-04-25','2016-06-13',237,286
264,'2016-04-25','2016-06-13',237,286
265,'2016-04-25','2016-06-13',237,286
266,'2016-08-05','2016-09-05',339,370
267,'2017-01-30','2017-01-30',517,517
268,'2017-04-28','2017-04-28',605,605
269,'2016-02-29','2017-04-28',181,605
270,'2015-09-17','2015-09-17',16,16
271,'2017-07-07','2017-07-07',675,675
272,'2017-03-24','2017-06-12',570,650
273,'2016-02-22','2016-06-06',174,279
274,'2017-02-16','2017-02-23',534,541
275,'2015-10-06','2015-10-12',35,41
276,'2016-04-18','2016-06-13',230,286
277,'2017-06-13','2017-07-07',651,675
278,'2016-04-25','2016-05-13',237,255
279,'2016-04-25','2016-12-07',237,463
280,'2015-09-01','2015-09-07',0,6
281,'2016-05-16','2016-05-16',258,258
282,'2017-06-30','2017-06-30',668,668
283,'2016-05-31','2016-06-07',273,280
284,'2016-05-31','2016-06-24',273,297
285,'2017-01-30','2017-02-13',517,531
286,'2016-05-31','2017-02-01',273,519
287,'2016-05-31','2016-08-26',273,360
288,'2017-03-27','2017-05-26',573,633
289,'2017-04-24','2017-05-17',601,624
290,'2017-04-24','2017-06-06',601,644
291,'2017-02-14','2017-04-28',532,605
292,'2016-06-27','2016-08-03',300,337
293,'2015-09-17','2015-09-17',16,16
294,'2017-06-30','2017-06-30',668,668
295,'2016-10-31','2017-05-30',426,637
296,'2015-09-17','2015-09-17',16,16
297,'2017-01-30','2017-01-30',517,517
298,'2015-09-17','2015-09-17',16,16
299,'2017-06-27','2017-06-27',665,665
300,'2016-04-29','2016-04-29',241,241
301,'2017-06-28','2017-06-28',666,666
302,'2015-09-17','2015-09-17',16,16
303,'2017-02-03','2017-02-03',521,521
304,'2017-01-30','2017-01-30',517,517
305,'2017-02-03','2017-02-03',521,521
306,'2017-01-30','2017-02-03',517,521
307,'2016-01-01','2017-01-27',122,514
308,'2016-01-01','2016-12-31',122,487
309,'2016-01-01','2017-01-27',122,514
310,'2016-01-01','2017-01-27',122,514
311,'2016-01-01','2017-01-27',122,514
312,'2016-01-01','2017-01-27',122,514
313,'2016-01-01','2017-01-27',122,514
314,'2016-01-01','2016-02-26',122,178
315,'2016-01-01','2016-06-24',122,297
316,'2016-01-01','2017-01-27',122,514
317,'2016-01-01','2016-06-24',122,297
318,'2016-01-01','2016-05-27',122,269
319,'2016-01-01','2017-01-27',122,514
320,'2016-01-01','2017-01-27',122,514
321,'2016-01-01','2016-04-29',122,241
322,'2016-01-01','2016-04-29',122,241
323,'2016-02-27','2017-01-27',179,514
324,'2016-02-27','2016-03-25',179,206
325,'2016-07-30','2017-01-27',333,514
326,'2016-11-26','2017-01-27',452,514
327,'2016-01-01','2017-01-27',122,514
328,'2016-01-01','2016-07-29',122,332
329,'2016-01-01','2017-01-27',122,514
330,'2016-01-01','2017-01-27',122,514
331,'2016-06-25','2016-12-31',298,487
332,'2016-01-01','2017-01-27',122,514
333,'2016-04-25','2016-04-29',237,241
334,'2016-01-01','2016-11-25',122,451
335,'2016-07-30','2016-10-28',333,423
336,'2016-04-30','2017-01-27',242,514
337,'2016-04-30','2017-01-27',242,514
338,'2016-03-26','2017-01-27',207,514
339,'2016-01-01','2017-01-27',122,514
340,'2016-01-01','2017-01-27',122,514
341,'2016-01-01','2017-01-27',122,514
342,'2016-03-26','2017-01-27',207,514
343,'2016-01-01','2017-01-27',122,514
344,'2016-02-27','2016-09-30',179,395
345,'2016-01-01','2017-01-27',122,514
346,'2016-05-28','2017-01-27',270,514
347,'2017-01-30','2017-02-03',517,521
348,'2017-01-30','2017-01-30',517,517
349,'2017-01-30','2017-06-30',517,668
350,'2016-01-01','2017-01-27',122,514
351,'2017-06-30','2017-06-30',668,668
352,'2017-01-30','2017-01-30',517,517
353,'2017-01-30','2017-02-03',517,521
354,'2017-01-30','2017-02-03',517,521
355,'2017-02-03','2017-02-03',521,521
356,'2017-01-30','2017-01-30',517,517
357,'2017-01-30','2017-02-03',517,521
358,'2016-02-27','2016-10-28',179,423
359,'2017-02-03','2017-02-03',521,521
360,'2017-01-30','2017-01-30',517,517
361,'2017-01-30','2017-02-03',517,521
362,'2017-01-30','2017-02-03',517,521
363,'2017-02-03','2017-02-03',521,521
364,'2017-01-30','2017-01-30',517,517
365,'2017-01-30','2017-02-03',517,521
366,'2017-01-30','2017-02-03',517,521
